,Unnamed: 0,abv,ibu,id,name,style,brewery_id,ounces
311,311,0.065,30.0,1546,Steel Wheels ESB,Extra Special / Strong Bitter (ESB),382,12.0
312,312,0.053,22.0,1545,Blue Mountain Classic Lager,Euro Pale Lager,382,12.0
313,313,0.059,60.0,119,Full Nelson Pale Ale (2010),American Pale Ale (APA),382,12.0
314,314,0.049,16.0,1408,Kölsch 151,Kölsch,414,12.0
315,315,,,2490,Professor Black,American Stout,77,12.0
316,316,,,2489,Little Boss,American Pale Wheat Ale,77,12.0
317,317,,,2488,Van Dayum!,American Amber / Red Ale,77,12.0
318,318,,,2487,Spirit Animal,American Pale Ale (APA),77,12.0
319,319,0.07,,939,Toxic Sludge,American Black Ale,489,16.0
320,320,0.06,40.0,692,Blue Point White IPA,American White IPA,489,12.0
321,321,0.044,16.0,667,Blue Point Summer Ale,American Blonde Ale,489,12.0
322,322,0.055,28.0,665,Toasted Lager,Vienna Lager,489,12.0
323,323,0.06,,1607,Bohemian Export Lager,Dortmunder / Export Lager,364,12.0
324,324,0.053,,1597,Altus Bohemes Altbier,Altbier,364,12.0
325,325,0.04,,344,Cherny Bock,Schwarzbier,364,12.0
326,326,0.05,,89,Czech Pilsner,Czech Pilsener,364,12.0
327,327,0.05,,88,Viennese Lager,Vienna Lager,364,12.0
328,328,0.065,,1569,Mad Manatee IPA,American IPA,378,12.0
329,329,0.055,,1568,Killer Whale Cream Ale,Cream Ale,378,12.0
330,330,0.06,,1188,Duke's Cold Nose Brown Ale,American Brown Ale,378,12.0
331,331,0.042,30.0,1891,Longhop IPA,American IPA,281,16.0
332,332,0.04,34.0,1890,Lucky Buck,Irish Dry Stout,281,16.0
333,333,0.051,,577,Bomb Lager (New Recipe),Munich Helles Lager,525,12.0
334,334,0.045,27.0,513,Bomb Lager (Old Recipe),Munich Helles Lager,525,12.0
335,335,0.066,72.0,2422,Firestarter India Pale Ale,American IPA,107,12.0
336,336,0.075,22.0,1727,Kilt Dropper Scotch Ale,Scotch Ale / Wee Heavy,107,16.0
337,337,0.048,30.0,1614,Wood Splitter Pilsner,Czech Pilsener,107,16.0
338,338,0.0559999999999999,26.0,1613,Gyptoberfest,Märzen / Oktoberfest,107,12.0
339,339,0.07,94.0,1549,Farmer Wirtz India Pale Ale,English India Pale Ale (IPA),107,16.0
340,340,0.047,,1548,Slow & Steady Golden Ale,American Blonde Ale,107,12.0
