percentage,method,precision,recall,f1
30,iforest,1.0,0.2803613248578119,0.437940945910635
30,z,1.0,0.7777394900068918,0.8749757704981586
30,lof,1.0,0.260854583046175,0.4137742552610002
30,iforest,1.0,0.29152308752584427,0.45144076840981856
40,z,1.0,0.743408203125,0.8528217336507492
40,lof,1.0,0.21923828125,0.3596315578694433
40,iforest,1.0,0.2255859375,0.3681274900398406
40,z,1.0,0.7342026078234705,0.8467322151532678
40,lof,1.0,0.2169007021063189,0.3564805275087574
40,iforest,1.0,0.2399699097291875,0.3870576339737108
40,z,1.0,0.7272274763563962,0.8420749279538905
40,lof,1.0,0.2217521154803384,0.36300672234671
40,iforest,1.0,0.2376804380288701,0.3840739995978283
40,z,1.0,0.7308166790032075,0.8444761225944405
40,lof,1.0,0.2223044658277818,0.3637464675010092
40,iforest,1.0,0.2477177399457192,0.3970733636543405
40,z,1.0,0.7424774322968907,0.852208950928191
40,lof,1.0,0.2226680040120361,0.3642329778506972
40,iforest,1.0,0.2342026078234704,0.3795205201137748
40,z,1.0,0.7357125031195408,0.8477354421279655
40,lof,1.0,0.2111305215872223,0.348650319390068
40,iforest,1.0,0.239580733715997,0.3865512381719347
40,z,1.0,0.739880059970015,0.8504954760878932
40,lof,1.0,0.2216391804097951,0.3628553896502352
40,iforest,1.0,0.2396301849075462,0.386615601693207
40,z,1.0,0.7354192740926158,0.8475407471513053
40,lof,1.0,0.2047559449311639,0.3399127363390816
40,iforest,1.0,0.23529411764705882,0.38095238095238093
50,z,1.0,0.6960016073940125,0.8207558346167516
50,lof,1.0,0.1808318264014466,0.3062787136294028
50,iforest,1.0,0.1989150090415913,0.3318250377073906
50,z,1.0,0.6912832929782082,0.8174659985683608
50,lof,1.0,0.1813962873284907,0.3070879590093937
50,iforest,1.0,0.188458434221146,0.3171477079796264
50,z,1.0,0.6851889270559709,0.8131894484412471
50,lof,1.0,0.1654879773691654,0.2839805825242718
50,iforest,1.0,0.2012527783390583,0.3350714886459209
50,z,1.0,0.6868787276341949,0.8143783146729524
50,lof,1.0,0.172365805168986,0.2940478209258945
50,iforest,1.0,0.2071570576540755,0.3432147562582345
50,z,1.0,0.6823930937562739,0.811217183770883
50,lof,1.0,0.1754667737402128,0.2985482493595217
50,iforest,1.0,0.203975105400522,0.3388360847090212
50,z,1.0,0.6952075396029677,0.8202034539862787
50,lof,1.0,0.1824744335271706,0.3086315075462099
50,iforest,1.0,0.2029276117906557,0.3373895649274879
50,z,1.0,0.6862666932429738,0.8139479905437351
50,lof,1.0,0.1819812637034084,0.3079258010118044
50,iforest,1.0,0.1987243372533386,0.3315596940472231
50,z,1.0,0.6927062574730969,0.8184600894749235
50,lof,1.0,0.1677959346353128,0.2873720136518771
50,iforest,1.0,0.19748903945795138,0.3298385754701281
