name, column_name, n_tuples,n_attributes,p_num_var,p_cat_var,p_duplicates,total_size,column_uniqueness,column_density,column_entropy,p_correlated_features,max_pearson,min_pearson,column_type,mean,std,%missing,ML_ALGORITHM,BEST_METHOD1,SCORE1,BEST_METHOD2,SCORE2,BEST_METHOD3,SCORE3
iris,petal_length,150,5,1.0,0.0,0.02,6128,0.2867,0.0236,3.4892,0.8,0.9628,-0.4205,numerical,3.7587,1.7644,0.4942,nb,impute_linear_regression,0.9499838621764756,no_impute,0.9499632860447883,impute_mean,0.9499632860447883
iris,petal_length,150,5,1.0,0.0,0.02,6128,0.2867,0.0236,3.4892,0.8,0.9628,-0.4205,numerical,3.7587,1.7644,0.4017,nb,impute_linear_regression,0.9444351873189336,no_impute,0.9425833354670818,impute_mean,0.9425833354670818
iris,petal_length,150,5,1.0,0.0,0.02,6128,0.2867,0.0236,3.4892,0.8,0.9628,-0.4205,numerical,3.7587,1.7644,0.2892,nb,impute_linear_regression,0.9480953246708272,impute_median,0.948047020171845,no_impute,0.9462418402507229
iris,petal_length,150,5,1.0,0.0,0.02,6128,0.2867,0.0236,3.4892,0.8,0.9628,-0.4205,numerical,3.7587,1.7644,0.21,nb,impute_median,0.9462260799279655,impute_linear_regression,0.9452673589014557,impute_knn,0.9443328990960282
iris,petal_length,150,5,1.0,0.0,0.02,6128,0.2867,0.0236,3.4892,0.8,0.9628,-0.4205,numerical,3.7587,1.7644,0.0917,nb,impute_knn,0.9480583015170831,impute_linear_regression,0.9471444178433428,impute_median,0.9397020267015377
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.4942,dt,impute_median,0.9381656081596749,impute_standard,0.937268282262349,impute_mode,0.9372481395628585
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.4017,dt,impute_mean,0.9352552055327691,impute_standard,0.9342850959721967,impute_median,0.9333654004799206
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.2892,dt,impute_knn,0.9444729124012493,impute_linear_regression,0.9443043746242358,no_impute,0.9398051304483771
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.21,dt,impute_random,0.9418358239371936,impute_knn,0.9417216763997756,impute_std,0.940844787953848
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.0917,dt,impute_knn,0.9554976527265292,impute_linear_regression,0.9517293784966471,impute_standard,0.9472072008920788
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.4942,lr,impute_knn,0.9463911815574197,impute_linear_regression,0.9359435985220006,impute_standard,0.921487436552576
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.4017,lr,impute_linear_regression,0.9480082237310157,impute_knn,0.9462930884234746,no_impute,0.9323841950637182
