name, column_name,ML_ALGORITHM,BEST_METHOD1,BEST_METHOD2,BEST_METHOD3
adult,relationship,nb,impute_standard,impute_mode,impute_logistic_regression
soybean,date,dt,impute_logistic_regression,impute_mode,impute_random
soybean,date,lr,impute_mode,impute_random,no_impute
soybean,date,knn,impute_standard,no_impute,impute_mode
soybean,date,nb,impute_standard,impute_logistic_regression,impute_random
soybean,leafspot-size,dt,impute_logistic_regression,impute_mode,no_impute
soybean,leafspot-size,lr,impute_knn,no_impute,impute_mode
soybean,leafspot-size,knn,impute_knn,no_impute,impute_logistic_regression
soybean,leafspot-size,nb,impute_mode,impute_knn,no_impute
soybean,canker-lesion,dt,no_impute,impute_mode,impute_logistic_regression
soybean,canker-lesion,lr,impute_knn,no_impute,impute_mode
soybean,canker-lesion,knn,impute_mode,impute_knn,impute_logistic_regression
soybean,canker-lesion,nb,no_impute,impute_mode,impute_logistic_regression
soybean,fruit-spots,dt,impute_knn,no_impute,impute_logistic_regression
soybean,fruit-spots,lr,impute_knn,impute_logistic_regression,no_impute
soybean,fruit-spots,knn,impute_knn,impute_standard,impute_logistic_regression
soybean,fruit-spots,nb,impute_knn,impute_logistic_regression,impute_standard
mushrooms,SporePrintColor,dt,no_impute,impute_standard,impute_knn
mushrooms,SporePrintColor,lr,impute_standard,impute_random,impute_knn
mushrooms,SporePrintColor,knn,impute_knn,impute_standard,impute_mode
mushrooms,SporePrintColor,nb,no_impute,impute_random,impute_mode
mushrooms,Odor,dt,impute_knn,no_impute,impute_logistic_regression
mushrooms,Odor,lr,impute_random,impute_mode,impute_standard
mushrooms,Odor,knn,impute_knn,no_impute,impute_logistic_regression
mushrooms,Odor,nb,impute_knn,impute_mode,no_impute
mushrooms,GillSize,dt,impute_logistic_regression,impute_random,impute_mode
mushrooms,GillSize,lr,impute_standard,no_impute,impute_knn
mushrooms,GillSize,knn,impute_standard,impute_mode,impute_knn
mushrooms,GillSize,nb,impute_knn,no_impute,impute_logistic_regression
mushrooms,RingType,dt,no_impute,impute_mode,impute_random
mushrooms,RingType,lr,impute_knn,impute_mode,impute_random
mushrooms,RingType,knn,impute_knn,impute_mode,impute_logistic_regression
mushrooms,RingType,nb,impute_mode,impute_knn,impute_random
