name,n_tuples,n_attributes,p_num_var,p_cat_var,p_duplicates,total_size,p_avg_distinct,p_max_distinct,p_min_distinct,avg_density,max_density,min_density,avg_entropy,max_entropy,min_entropy,p_correlated_features,max_pearson,min_pearson,%missing,ML_ALGORITHM,BEST_METHOD
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,0.1849,nb,impute_knn
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,0.0918,nb,impute_linear_and_logistic
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.4707,dt,impute_median
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.3778,dt,impute_knn
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.2831,dt,impute_knn
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.1883,dt,impute_knn
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.094,dt,impute_knn
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.4707,lr,impute_mice
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.3778,lr,impute_knn
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.2831,lr,impute_knn
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.1883,lr,impute_knn
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.094,lr,impute_knn
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.4707,knn,impute_mice
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.3778,knn,impute_knn
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.2831,knn,impute_knn
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.1883,knn,impute_knn
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.094,knn,impute_knn
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.4707,nb,impute_knn
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.3778,nb,impute_knn
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.2831,nb,impute_knn
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.1883,nb,impute_knn
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.094,nb,impute_knn
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.4298,dt,impute_soft
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.3419,dt,no_impute
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.258,dt,impute_standard
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.1717,dt,impute_standard
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.0865,dt,impute_soft
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.4298,lr,no_impute
