name,n_tuples,n_attributes,p_num_var,p_cat_var,p_duplicates,total_size,p_avg_distinct,p_max_distinct,p_min_distinct,avg_density,max_density,min_density,avg_entropy,max_entropy,min_entropy,p_correlated_features,max_pearson,min_pearson,ML_ALGORITHM,ERROR_TYPE,BEST_METHOD
users,322,5,0.0,1.0,0.9534,13008,0.0112,0.0124,0.0062,6.8886,14.9068,3.5393,0.9817,1.2812,0.6119,nan,nan,nan,LOGISTIC_REGR,uniform,NO
users,322,5,0.0,1.0,0.9534,13008,0.0112,0.0124,0.0062,6.8886,14.9068,3.5393,0.9817,1.2812,0.6119,nan,nan,nan,LOGISTIC_REGR,column-based,DROP_COLS
users,322,5,0.0,1.0,0.9534,13008,0.0112,0.0124,0.0062,6.8886,14.9068,3.5393,0.9817,1.2812,0.6119,nan,nan,nan,LOGISTIC_REGR,row-based,DROP_ROWS
mushrooms,4021,23,0.0,1.0,0.0,711845,0.0013,0.003,0.0002,6.6123,35.7281,0.0,0.9857,2.0917,-0.0,nan,nan,nan,DECISION_TREES,uniform,KNN
mushrooms,4021,23,0.0,1.0,0.0,711845,0.0013,0.003,0.0002,6.6123,35.7281,0.0,0.9857,2.0917,-0.0,nan,nan,nan,DECISION_TREES,column-based,DROP_COLS
mushrooms,4021,23,0.0,1.0,0.0,711845,0.0013,0.003,0.0002,6.6123,35.7281,0.0,0.9857,2.0917,-0.0,nan,nan,nan,DECISION_TREES,row-based,DROP_ROWS
mushrooms,4021,23,0.0,1.0,0.0,711845,0.0013,0.003,0.0002,6.6123,35.7281,0.0,0.9857,2.0917,-0.0,nan,nan,nan,KNN,uniform,KNN
mushrooms,4021,23,0.0,1.0,0.0,711845,0.0013,0.003,0.0002,6.6123,35.7281,0.0,0.9857,2.0917,-0.0,nan,nan,nan,KNN,column-based,MODE
mushrooms,4021,23,0.0,1.0,0.0,711845,0.0013,0.003,0.0002,6.6123,35.7281,0.0,0.9857,2.0917,-0.0,nan,nan,nan,KNN,row-based,MICE
mushrooms,4021,23,0.0,1.0,0.0,711845,0.0013,0.003,0.0002,6.6123,35.7281,0.0,0.9857,2.0917,-0.0,nan,nan,nan,NAIVE_BAYES,uniform,NOP
mushrooms,4021,23,0.0,1.0,0.0,711845,0.0013,0.003,0.0002,6.6123,35.7281,0.0,0.9857,2.0917,-0.0,nan,nan,nan,NAIVE_BAYES,column-based,NOP
mushrooms,4021,23,0.0,1.0,0.0,711845,0.0013,0.003,0.0002,6.6123,35.7281,0.0,0.9857,2.0917,-0.0,nan,nan,nan,NAIVE_BAYES,row-based,DROP_ROWS
mushrooms,4021,23,0.0,1.0,0.0,711845,0.0013,0.003,0.0002,6.6123,35.7281,0.0,0.9857,2.0917,-0.0,nan,nan,nan,LOGISTIC_REGR,uniform,NOP
mushrooms,4021,23,0.0,1.0,0.0,711845,0.0013,0.003,0.0002,6.6123,35.7281,0.0,0.9857,2.0917,-0.0,nan,nan,nan,LOGISTIC_REGR,column-based,DROP_COLS
mushrooms,4021,23,0.0,1.0,0.0,711845,0.0013,0.003,0.0002,6.6123,35.7281,0.0,0.9857,2.0917,-0.0,nan,nan,nan,LOGISTIC_REGR,row-based,DROP_ROWS
german,1000,10,0.4,0.6,0.0,80128,0.1033,0.921,0.002,6.2992,15.0,0.0,1.9213,6.7956,0.6109,0.0,0.625,-0.0361,DECISION_TREES,uniform,MICE
german,1000,10,0.4,0.6,0.0,80128,0.1033,0.921,0.002,6.2992,15.0,0.0,1.9213,6.7956,0.6109,0.0,0.625,-0.0361,DECISION_TREES,column-based,MICE
german,1000,10,0.4,0.6,0.0,80128,0.1033,0.921,0.002,6.2992,15.0,0.0,1.9213,6.7956,0.6109,0.0,0.625,-0.0361,DECISION_TREES,row-based,MICE
german,1000,10,0.4,0.6,0.0,80128,0.1033,0.921,0.002,6.2992,15.0,0.0,1.9213,6.7956,0.6109,0.0,0.625,-0.0361,KNN,uniform,KNN
german,1000,10,0.4,0.6,0.0,80128,0.1033,0.921,0.002,6.2992,15.0,0.0,1.9213,6.7956,0.6109,0.0,0.625,-0.0361,KNN,column-based,MICE
german,1000,10,0.4,0.6,0.0,80128,0.1033,0.921,0.002,6.2992,15.0,0.0,1.9213,6.7956,0.6109,0.0,0.625,-0.0361,KNN,row-based,MICE
german,1000,10,0.4,0.6,0.0,80128,0.1033,0.921,0.002,6.2992,15.0,0.0,1.9213,6.7956,0.6109,0.0,0.625,-0.0361,NAIVE_BAYES,uniform,KNN
german,1000,10,0.4,0.6,0.0,80128,0.1033,0.921,0.002,6.2992,15.0,0.0,1.9213,6.7956,0.6109,0.0,0.625,-0.0361,NAIVE_BAYES,column-based,MICE
german,1000,10,0.4,0.6,0.0,80128,0.1033,0.921,0.002,6.2992,15.0,0.0,1.9213,6.7956,0.6109,0.0,0.625,-0.0361,NAIVE_BAYES,row-based,MICE
german,1000,10,0.4,0.6,0.0,80128,0.1033,0.921,0.002,6.2992,15.0,0.0,1.9213,6.7956,0.6109,0.0,0.625,-0.0361,LOGISTIC_REGR,uniform,MICE
german,1000,10,0.4,0.6,0.0,80128,0.1033,0.921,0.002,6.2992,15.0,0.0,1.9213,6.7956,0.6109,0.0,0.625,-0.0361,LOGISTIC_REGR,column-based,MODE
german,1000,10,0.4,0.6,0.0,80128,0.1033,0.921,0.002,6.2992,15.0,0.0,1.9213,6.7956,0.6109,0.0,0.625,-0.0361,LOGISTIC_REGR,row-based,MEDIAN
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,DECISION_TREES,uniform,MICE
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,DECISION_TREES,column-based,MICE
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,DECISION_TREES,row-based,DROP_ROW
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,KNN,uniform,KNN
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,KNN,column-based,KNN
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,KNN,row-based,KNN
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,NAIVE_BAYES,uniform,KNN
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,NAIVE_BAYES,column-based,NOP
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,NAIVE_BAYES,row-based,DROP_ROWS
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,LOGISTIC_REGR,uniform,NOP
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,LOGISTIC_REGR,column-based,NOP
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,LOGISTIC_REGR,row-based,DROP_ROWS
adult,3017,15,0.4,0.6,0.0,362168,0.0711,0.9486,0.0007,3.0447,18.6816,0.0,1.8318,7.9385,0.3115,0.0,0.1536,-0.0778,DECISION_TREES,uniform,MICE
adult,3017,15,0.4,0.6,0.0,362168,0.0711,0.9486,0.0007,3.0447,18.6816,0.0,1.8318,7.9385,0.3115,0.0,0.1536,-0.0778,DECISION_TREES,column-based,MICE
adult,3017,15,0.4,0.6,0.0,362168,0.0711,0.9486,0.0007,3.0447,18.6816,0.0,1.8318,7.9385,0.3115,0.0,0.1536,-0.0778,DECISION_TREES,row-based,MICE
adult,3017,15,0.4,0.6,0.0,362168,0.0711,0.9486,0.0007,3.0447,18.6816,0.0,1.8318,7.9385,0.3115,0.0,0.1536,-0.0778,KNN,uniform,MICE
adult,3017,15,0.4,0.6,0.0,362168,0.0711,0.9486,0.0007,3.0447,18.6816,0.0,1.8318,7.9385,0.3115,0.0,0.1536,-0.0778,KNN,column-based,MICE
adult,3017,15,0.4,0.6,0.0,362168,0.0711,0.9486,0.0007,3.0447,18.6816,0.0,1.8318,7.9385,0.3115,0.0,0.1536,-0.0778,KNN,row-based,MICE
adult,3017,15,0.4,0.6,0.0,362168,0.0711,0.9486,0.0007,3.0447,18.6816,0.0,1.8318,7.9385,0.3115,0.0,0.1536,-0.0778,NAIVE_BAYES,uniform,KNN
adult,3017,15,0.4,0.6,0.0,362168,0.0711,0.9486,0.0007,3.0447,18.6816,0.0,1.8318,7.9385,0.3115,0.0,0.1536,-0.0778,NAIVE_BAYES,column-based,MIC
adult,3017,15,0.4,0.6,0.0,362168,0.0711,0.9486,0.0007,3.0447,18.6816,0.0,1.8318,7.9385,0.3115,0.0,0.1536,-0.0778,NAIVE_BAYES,row-based,MICE
adult,3017,15,0.4,0.6,0.0,362168,0.0711,0.9486,0.0007,3.0447,18.6816,0.0,1.8318,7.9385,0.3115,0.0,0.1536,-0.0778,LOGISTIC_REGR,uniform,MICE
adult,3017,15,0.4,0.6,0.0,362168,0.0711,0.9486,0.0007,3.0447,18.6816,0.0,1.8318,7.9385,0.3115,0.0,0.1536,-0.0778,LOGISTIC_REGR,column-based,MEAN
adult,3017,15,0.4,0.6,0.0,362168,0.0711,0.9486,0.0007,3.0447,18.6816,0.0,1.8318,7.9385,0.3115,0.0,0.1536,-0.0778,LOGISTIC_REGR,row-based,MICE
house,501,75,0.48,0.52,0.0,300728,0.1009,0.8064,0.002,5.8949,37.2006,0.0,1.4975,5.8662,-0.0,0.2222,0.8849,-0.5102,DECISION_TREES,uniform,MF
house,501,75,0.48,0.52,0.0,300728,0.1009,0.8064,0.002,5.8949,37.2006,0.0,1.4975,5.8662,-0.0,0.2222,0.8849,-0.5102,DECISION_TREES,column-based,MF
