name, column_name, n_tuples,n_attributes,p_num_var,p_cat_var,p_duplicates,total_size,column_uniqueness,column_density,column_entropy,p_correlated_features,max_pearson,min_pearson,column_type,mean,std,%missing,ML_ALGORITHM,BEST_METHOD
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,0.2817,lr,impute_mean
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,0.2133,lr,impute_mean
iris,sepal_length,150,5,1.0,0.0,0.02,6128,0.2333,0.0644,3.3424,0.8,0.9628,-0.4205,numerical,5.8433,0.8281,0.095,lr,impute_mean
iris,sepal_width,150,5,1.0,0.0,0.02,6128,0.1533,0.0462,2.7807,0.8,0.9628,-0.4205,numerical,3.054,0.4336,0.5,dt,impute_mean
iris,sepal_width,150,5,1.0,0.0,0.02,6128,0.1533,0.0462,2.7807,0.8,0.9628,-0.4205,numerical,3.054,0.4336,0.375,dt,no_impute
iris,sepal_width,150,5,1.0,0.0,0.02,6128,0.1533,0.0462,2.7807,0.8,0.9628,-0.4205,numerical,3.054,0.4336,0.2817,dt,no_impute
iris,sepal_width,150,5,1.0,0.0,0.02,6128,0.1533,0.0462,2.7807,0.8,0.9628,-0.4205,numerical,3.054,0.4336,0.2133,dt,no_impute
iris,sepal_width,150,5,1.0,0.0,0.02,6128,0.1533,0.0462,2.7807,0.8,0.9628,-0.4205,numerical,3.054,0.4336,0.095,dt,no_impute
iris,sepal_width,150,5,1.0,0.0,0.02,6128,0.1533,0.0462,2.7807,0.8,0.9628,-0.4205,numerical,3.054,0.4336,0.5,lr,no_impute
iris,sepal_width,150,5,1.0,0.0,0.02,6128,0.1533,0.0462,2.7807,0.8,0.9628,-0.4205,numerical,3.054,0.4336,0.375,lr,impute_mean
iris,sepal_width,150,5,1.0,0.0,0.02,6128,0.1533,0.0462,2.7807,0.8,0.9628,-0.4205,numerical,3.054,0.4336,0.2817,lr,impute_mean
iris,sepal_width,150,5,1.0,0.0,0.02,6128,0.1533,0.0462,2.7807,0.8,0.9628,-0.4205,numerical,3.054,0.4336,0.2133,lr,impute_mean
iris,sepal_width,150,5,1.0,0.0,0.02,6128,0.1533,0.0462,2.7807,0.8,0.9628,-0.4205,numerical,3.054,0.4336,0.095,lr,impute_mean
iris,petal_length,150,5,1.0,0.0,0.02,6128,0.2867,0.0236,3.4892,0.8,0.9628,-0.4205,numerical,3.7587,1.7644,0.5,dt,impute_mean
iris,petal_length,150,5,1.0,0.0,0.02,6128,0.2867,0.0236,3.4892,0.8,0.9628,-0.4205,numerical,3.7587,1.7644,0.375,dt,impute_mean
iris,petal_length,150,5,1.0,0.0,0.02,6128,0.2867,0.0236,3.4892,0.8,0.9628,-0.4205,numerical,3.7587,1.7644,0.2817,dt,impute_mean
iris,petal_length,150,5,1.0,0.0,0.02,6128,0.2867,0.0236,3.4892,0.8,0.9628,-0.4205,numerical,3.7587,1.7644,0.2133,dt,no_impute
iris,petal_length,150,5,1.0,0.0,0.02,6128,0.2867,0.0236,3.4892,0.8,0.9628,-0.4205,numerical,3.7587,1.7644,0.095,dt,no_impute
iris,petal_length,150,5,1.0,0.0,0.02,6128,0.2867,0.0236,3.4892,0.8,0.9628,-0.4205,numerical,3.7587,1.7644,0.5,lr,impute_mean
iris,petal_length,150,5,1.0,0.0,0.02,6128,0.2867,0.0236,3.4892,0.8,0.9628,-0.4205,numerical,3.7587,1.7644,0.375,lr,impute_mean
iris,petal_length,150,5,1.0,0.0,0.02,6128,0.2867,0.0236,3.4892,0.8,0.9628,-0.4205,numerical,3.7587,1.7644,0.2817,lr,impute_mean
iris,petal_length,150,5,1.0,0.0,0.02,6128,0.2867,0.0236,3.4892,0.8,0.9628,-0.4205,numerical,3.7587,1.7644,0.2133,lr,impute_mean
iris,petal_length,150,5,1.0,0.0,0.02,6128,0.2867,0.0236,3.4892,0.8,0.9628,-0.4205,numerical,3.7587,1.7644,0.095,lr,no_impute
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.5,dt,no_impute
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.375,dt,impute_mean
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.2817,dt,impute_mean
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.2133,dt,no_impute
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.095,dt,impute_mean
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.5,lr,impute_mean
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.375,lr,impute_mean
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.2817,lr,impute_mean
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.2133,lr,impute_mean
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.095,lr,impute_mean
