name,n_tuples,n_attributes,p_num_var,p_cat_var,p_duplicates,total_size,p_avg_distinct,p_max_distinct,p_min_distinct,avg_density,max_density,min_density,avg_entropy,max_entropy,min_entropy,p_correlated_features,max_pearson,min_pearson,%missing,ML_ALGORITHM,BEST_METHOD
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.4707,nb,impute_knn
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.3778,nb,impute_knn
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.2831,nb,impute_knn
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.1883,nb,impute_knn
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.094,nb,impute_knn
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.4298,dt,impute_ffill
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.3419,dt,impute_ffill
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.258,dt,impute_ffill
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.1717,dt,impute_ffill
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.0865,dt,impute_ffill
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.4298,lr,impute_ffill
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.3419,lr,impute_ffill
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.258,lr,impute_ffill
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.1717,lr,impute_ffill
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.0865,lr,impute_ffill
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.4298,knn,impute_ffill
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.3419,knn,impute_ffill
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.258,knn,impute_ffill
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.1717,knn,impute_ffill
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.0865,knn,impute_ffill
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.4298,nb,impute_ffill
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.3419,nb,impute_random
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.258,nb,impute_random
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.1717,nb,no_impute
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.0865,nb,no_impute
users,322,5,0.0,1.0,0.9534,13008,0.0112,0.0124,0.0062,6.8886,14.9068,3.5393,0.9817,1.2812,0.6119,nan,nan,nan,0.3984,dt,impute_bfill
users,322,5,0.0,1.0,0.9534,13008,0.0112,0.0124,0.0062,6.8886,14.9068,3.5393,0.9817,1.2812,0.6119,nan,nan,nan,0.3286,dt,impute_bfill
users,322,5,0.0,1.0,0.9534,13008,0.0112,0.0124,0.0062,6.8886,14.9068,3.5393,0.9817,1.2812,0.6119,nan,nan,nan,0.2385,dt,impute_bfill
users,322,5,0.0,1.0,0.9534,13008,0.0112,0.0124,0.0062,6.8886,14.9068,3.5393,0.9817,1.2812,0.6119,nan,nan,nan,0.162,dt,impute_bfill
users,322,5,0.0,1.0,0.9534,13008,0.0112,0.0124,0.0062,6.8886,14.9068,3.5393,0.9817,1.2812,0.6119,nan,nan,nan,0.0801,dt,impute_ffill
users,322,5,0.0,1.0,0.9534,13008,0.0112,0.0124,0.0062,6.8886,14.9068,3.5393,0.9817,1.2812,0.6119,nan,nan,nan,0.3984,lr,impute_ffill
