name,n_tuples,n_attributes,p_num_var,p_cat_var,p_duplicates,total_size,p_avg_distinct,p_max_distinct,p_min_distinct,avg_density,max_density,min_density,avg_entropy,max_entropy,min_entropy,p_correlated_features,max_pearson,min_pearson,%missing,ML_ALGORITHM,BEST_METHOD1,SCORE1,BEST_METHOD2,SCORE2,BEST_METHOD3,SCORE3
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.4707,knn,impute_mice,0.30706945179866235,impute_linear_and_logistic,0.294653542614942,impute_knn,0.2926558763346938
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.3778,knn,impute_knn,0.4302871600033987,impute_mice,0.40457490316890615,impute_linear_and_logistic,0.3846410302026548
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.2831,knn,impute_knn,0.576160166301938,impute_linear_and_logistic,0.48732176473261124,impute_mice,0.47222405091453035
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.1883,knn,impute_knn,0.663304203500539,impute_mice,0.5923729044116587,impute_linear_and_logistic,0.5782699710207723
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.094,knn,impute_knn,0.7036241064966553,impute_mice,0.6697155137282829,impute_linear_and_logistic,0.6674002021235612
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.4707,nb,impute_knn,0.33312379127061004,impute_linear_and_logistic,0.32297376096811325,impute_mice,0.3212599684901114
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.3778,nb,impute_knn,0.41530933384719854,impute_linear_and_logistic,0.39171919254342485,no_impute,0.38655274990608074
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.2831,nb,impute_knn,0.49846045973124137,impute_linear_and_logistic,0.4500855483585234,no_impute,0.4492490495546957
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.1883,nb,impute_knn,0.5596174503970661,impute_linear_and_logistic,0.5121008643276811,no_impute,0.5113302608386732
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.094,nb,impute_knn,0.5975931251932189,impute_mice,0.5699228438986175,no_impute,0.5671326526613643
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.4298,dt,impute_soft,0.6651900736625197,impute_standard,0.6630090333047579,no_impute,0.6614566290780988
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.3419,dt,no_impute,0.687236237242082,impute_standard,0.6870244848357974,impute_soft,0.6776157241982914
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.258,dt,impute_standard,0.733866502146063,no_impute,0.7329909725283502,impute_soft,0.7247708000570366
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.1717,dt,impute_standard,0.7829237081139548,no_impute,0.7824106244238369,impute_soft,0.7779976105627505
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.0865,dt,impute_soft,0.8674084374596158,impute_mice,0.8632166502737144,impute_standard,0.8599592542452708
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.4298,lr,no_impute,0.689295007466335,impute_standard,0.689295007466335,impute_mean,0.6586974878885221
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.3419,lr,no_impute,0.7181170622152737,impute_standard,0.7181170622152737,impute_mean,0.6951238102861756
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.258,lr,no_impute,0.7532896442070481,impute_standard,0.7532896442070481,impute_mean,0.7133413141516814
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.1717,lr,no_impute,0.7947687213732678,impute_standard,0.7947687213732678,impute_mean,0.7675682966146845
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.0865,lr,no_impute,0.8441989063090501,impute_standard,0.8441989063090501,impute_mean,0.8291052286338575
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.4298,knn,no_impute,0.6557992840202593,impute_standard,0.6557992840202593,impute_soft,0.6507809725563366
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.3419,knn,impute_soft,0.6750304020119698,no_impute,0.6737737738439762,impute_standard,0.6737737738439762
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.258,knn,no_impute,0.7129435120785201,impute_standard,0.7129435120785201,impute_soft,0.7107047705060886
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.1717,knn,impute_knn,0.7513964827858474,impute_mice,0.7507579528991036,no_impute,0.7476726777963696
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.0865,knn,no_impute,0.8154977186675558,impute_standard,0.8154977186675558,impute_mice,0.8132034047231063
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.4298,nb,impute_random,0.6421018715455772,impute_mice,0.6157271566943033,impute_soft,0.6132866819872139
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.3419,nb,impute_random,0.6686246921726364,impute_mice,0.6312332539572723,impute_soft,0.6286212095138817
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.258,nb,impute_random,0.667816015603412,impute_soft,0.6450025271560944,impute_mice,0.6432175530172004
car,1728,7,0.0,1.0,0.0,96896,0.0021,0.0023,0.0017,0.9712,6.7984,0.0,1.1844,1.3863,0.8358,nan,nan,nan,0.1717,nb,no_impute,0.7039680876829869,impute_standard,0.7039680876829869,impute_soft,0.6589822785151974
