Coupons,Year,Quarter,Origin,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,OriginCountry,OriginStateFips,OriginState,OriginStateName,OriginWac,RoundTrip,OnLine,DollarCred,FarePerMile,RPCarrier,Passengers,ItinFare,BulkFare,Distance,DistanceGroup,MilesFlown,ItinGeoType
3,2021,1,SEA,14747,1474703,30559,US,53,WA,Washington,93,1.0,0.0,1,0.2276,DL,1.0,1258.0,0.0,5528.0,12,5528.0,1
1,2021,1,STT,15024,1502403,34945,US,78,VI,U.S. Virgin Islands,4,0.0,1.0,1,0.0337,F9,7.0,42.0,0.0,1246.0,3,1246.0,1
1,2021,1,PHL,14100,1410005,34100,US,42,PA,Pennsylvania,23,0.0,1.0,1,0.0768,AA,1.0,121.0,0.0,1576.0,4,1576.0,1
4,2021,1,PSC,14252,1425202,34252,US,53,WA,Washington,93,1.0,0.0,1,0.0228,QX,1.0,128.0,0.0,5624.0,12,5624.0,1
3,2021,1,PDX,14057,1405702,34057,US,41,OR,Oregon,92,1.0,1.0,1,0.0695,AS,1.0,376.0,0.0,5409.0,11,5409.0,1
3,2021,1,KOA,12758,1275804,32758,US,15,HI,Hawaii,2,0.0,0.0,1,0.0508,DL,1.0,291.0,0.0,5723.0,12,5723.0,1
2,2021,1,PHL,14100,1410005,34100,US,42,PA,Pennsylvania,23,0.0,1.0,1,1,AA,3.0,5.0,0.0,5027.0,11,5027.0,1
2,2021,1,FAI,11630,1163002,31517,US,2,AK,Alaska,1,0.0,0.0,1,0.0882,AS,1.0,155.0,0.0,1757.0,4,1757.0,1
1,2021,1,SJU,14843,1484306,34819,US,72,PR,Puerto Rico,3,0.0,1.0,1,0.0641,AA,3.0,67.0,0.0,1045.0,3,1045.0,1
2,2021,1,BOI,10713,1071302,30713,US,16,ID,Idaho,83,0.0,0.0,1,0.0866,OO,1.0,253.0,0.0,2920.0,6,2920.0,1
1,2021,1,LAX,12892,1289208,32575,US,6,CA,California,91,0.0,1.0,1,0.4189,UA,1.0,1049.0,0.0,2504.0,6,2504.0,1
5,2021,1,PBI,14027,1402702,34027,US,12,FL,Florida,33,1.0,1.0,1,0.1049,DL,1.0,1096.0,0.0,10451.0,21,10451.0,1
1,2021,1,TPA,15304,1530402,33195,US,12,FL,Florida,33,0.0,1.0,1,0.0412,B6,25.0,51.0,0.0,1237.0,3,1237.0,1
4,2021,1,BOI,10713,1071302,30713,US,16,ID,Idaho,83,1.0,0.0,1,0.0018,QX,1.0,11.0,0.0,6023.0,13,6023.0,1
2,2021,1,ORD,13930,1393007,30977,US,17,IL,Illinois,41,1.0,1.0,1,0.1678,UA,1.0,1424.0,0.0,8486.0,17,8486.0,1
2,2021,1,LAX,12892,1289208,32575,US,6,CA,California,91,1.0,0.0,1,0.0455,AS,2.0,226.0,0.0,4972.0,10,4972.0,1
2,2021,1,DFW,11298,1129806,30194,US,48,TX,Texas,74,1.0,1.0,1,0.0015,AA,9.0,11.0,0.0,7568.0,16,7568.0,1
2,2021,1,SJU,14843,1484306,34819,US,72,PR,Puerto Rico,3,0.0,0.0,1,0.1159,AA,1.0,303.0,0.0,2614.0,6,2614.0,1
3,2021,1,OGG,13830,1383002,33830,US,15,HI,Hawaii,2,0.0,1.0,1,0.0034,WN,1.0,11.0,0.0,3260.0,7,3260.0,1
4,2021,1,ANC,10299,1029906,30299,US,2,AK,Alaska,1,1.0,1.0,1,0.0257,AS,2.0,127.0,0.0,4944.0,10,4944.0,1
2,2021,1,SJU,14843,1484306,34819,US,72,PR,Puerto Rico,3,0.0,1.0,1,0.0922,AA,1.0,198.0,0.0,2148.0,5,2148.0,1
4,2021,1,SYR,15096,1509602,35096,US,36,NY,New York,22,1.0,0.0,1,89,PT,1.0,321.0,0.0,3608.0,8,3608.0,1
2,2021,1,STL,15016,1501606,31123,US,29,MO,Missouri,64,0.0,1.0,1,0.0687,AS,1.0,217.0,0.0,3157.0,7,3157.0,1
2,2021,1,SJU,14843,1484306,34819,US,72,PR,Puerto Rico,3,0.0,0.0,1,0.2101,AA,1.0,520.0,0.0,2475.0,5,2475.0,1
4,2021,1,MAF,13158,1315805,33158,US,48,TX,Texas,74,1.0,0.0,1,0.0856,UA,1.0,417.0,0.0,4872.0,10,4872.0,1
2,2021,1,HNL,12173,1217305,32134,US,15,HI,Hawaii,2,0.0,1.0,1,0.1147,WN,1.0,297.0,0.0,2590.0,6,2590.0,1
2,2021,1,SFO,14771,1477104,32457,US,6,CA,California,91,1.0,1.0,1,0.1052,UA,6.0,498.0,0.0,4734.0,10,4734.0,1
2,2021,1,STT,15024,1502403,34945,US,78,VI,U.S. Virgin Islands,4,0.0,1.0,1,0.0303,AA,2.0,62.0,0.0,2049.0,5,2049.0,1
4,2021,1,ANC,10299,1029906,30299,US,2,AK,Alaska,1,1.0,0.0,1,0.0383,AS,1.0,166.0,0.0,4333.0,9,4333.0,1
1,2021,1,HNL,12173,1217305,32134,US,15,HI,Hawaii,2,0.0,1.0,1,0.6343,HA,1.0,137.0,0.0,216.0,1,216.0,1
4,2021,1,TPA,15304,1530402,33195,US,12,FL,Florida,33,1.0,1.0,1,0.0499,AA,1.0,464.0,0.0,9296.0,19,9296.0,1
2,2021,1,BOS,10721,1072102,30721,US,25,MA,Massachusetts,13,1.0,1.0,1,0.5204,B6,2.0,1762.0,0.0,3386.0,7,3386.0,1
2,2021,1,PHX,14107,1410702,30466,US,4,AZ,Arizona,81,0.0,1.0,1,0.1286,HA,1.0,388.0,0.0,3017.0,7,3017.0,1
2,2021,1,LAX,12892,1289208,32575,US,6,CA,California,91,1.0,1.0,1,0.0471,DL,1.0,241.0,0.0,5112.0,11,5112.0,1
4,2021,1,SAN,14679,1467903,33570,US,6,CA,California,91,1.0,1.0,1,0.0526,WN,2.0,292.0,0.0,5554.0,12,5554.0,1
3,2021,1,HNL,12173,1217305,32134,US,15,HI,Hawaii,2,0.0,0.0,1,0.0789,DL,1.0,390.0,0.0,4942.0,10,4942.0,1
4,2021,1,STX,15027,1502704,34992,US,78,VI,U.S. Virgin Islands,4,1.0,0.0,1,0.1581,AA,1.0,665.0,0.0,4206.0,9,4206.0,1
3,2021,1,SEA,14747,1474703,30559,US,53,WA,Washington,93,1.0,0.0,1,2,DL,1.0,11.0,0.0,5528.0,12,5528.0,1
2,2021,1,STX,15027,1502704,34992,US,78,VI,U.S. Virgin Islands,4,0.0,1.0,1,0.0882,DL,1.0,329.0,0.0,3730.0,8,3730.0,1
2,2021,1,DCA,11278,1127805,30852,US,51,VA,Virginia,38,0.0,1.0,1,0.0838,DL,1.0,408.0,0.0,4867.0,10,4867.0,1
5,2021,1,BOS,10721,1072102,30721,US,25,MA,Massachusetts,13,1.0,1.0,1,0.0407,DL,1.0,324.0,0.0,7951.0,16,7951.0,1
1,2021,1,DFW,11298,1129806,30194,US,48,TX,Texas,74,0.0,1.0,1,0.2819,AA,2.0,1046.0,0.0,3711.0,8,3711.0,1
4,2021,1,HNL,12173,1217305,32134,US,15,HI,Hawaii,2,1.0,0.0,1,0.0455,AS,1.0,346.0,0.0,7604.0,16,7604.0,1
4,2021,1,ICT,12278,1227805,30928,US,20,KS,Kansas,62,1.0,0.0,1,0.1074,9E,1.0,567.0,0.0,5278.0,11,5278.0,1
3,2021,1,LAX,12892,1289208,32575,US,6,CA,California,91,1.0,1.0,1,0.0621,AA,1.0,363.0,0.0,5843.0,12,5843.0,1
2,2021,1,DFW,11298,1129806,30194,US,48,TX,Texas,74,1.0,1.0,1,0.3915,AA,1.0,2916.0,0.0,7448.0,15,7448.0,1
2,2021,1,MSP,13487,1348702,31650,US,27,MN,Minnesota,63,0.0,1.0,1,15,NK,3.0,38.0,0.0,2533.0,6,2533.0,1
2,2021,1,LAX,12892,1289208,32575,US,6,CA,California,91,1.0,1.0,1,0.0288,HA,1.0,147.0,0.0,5112.0,11,5112.0,1
2,2021,1,CMH,11066,1106606,31066,US,39,OH,Ohio,44,0.0,0.0,1,0.0752,MQ,1.0,153.0,0.0,2035.0,5,2035.0,1
4,2021,1,HNL,12173,1217305,32134,US,15,HI,Hawaii,2,1.0,0.0,1,0.0771,UA,1.0,432.0,0.0,5604.0,12,5604.0,1
2,2021,1,HNL,12173,1217305,32134,US,15,HI,Hawaii,2,1.0,1.0,1,408,HA,5.0,133.0,0.0,326.0,1,326.0,1
2,2021,1,LAS,12889,1288903,32211,US,32,NV,Nevada,85,0.0,0.0,1,0.0484,OO,2.0,135.0,0.0,2792.0,6,2792.0,1
2,2021,1,SJU,14843,1484306,34819,US,72,PR,Puerto Rico,3,0.0,1.0,1,0.1002,AA,1.0,236.0,0.0,2355.0,5,2355.0,1
2,2021,1,ANC,10299,1029906,30299,US,2,AK,Alaska,1,1.0,1.0,1,0.2571,AS,2.0,1428.0,0.0,5554.0,12,5554.0,1
1,2021,1,SJU,14843,1484306,34819,US,72,PR,Puerto Rico,3,0.0,1.0,1,0.1561,F9,8.0,246.0,0.0,1576.0,4,1576.0,1
2,2021,1,CHS,10994,1099402,30994,US,45,SC,South Carolina,37,0.0,0.0,1,0.2694,YX,1.0,430.0,0.0,1596.0,4,1596.0,1
2,2021,1,SFO,14771,1477104,32457,US,6,CA,California,91,1.0,1.0,1,0.0601,HA,15.0,288.0,0.0,4796.0,10,4796.0,1
2,2021,1,GEG,11884,1188402,31884,US,53,WA,Washington,93,0.0,0.0,1,0.1262,QX,1.0,143.0,0.0,1133.0,3,1133.0,1
2,2021,1,SEA,14747,1474703,30559,US,53,WA,Washington,93,1.0,1.0,1,0.0671,AS,3.0,359.0,0.0,5354.0,11,5354.0,1
1,2021,1,SJU,14843,1484306,34819,US,72,PR,Puerto Rico,3,0.0,1.0,1,158,B6,2.0,249.0,0.0,1576.0,4,1576.0,1
4,2021,1,DTW,11433,1143302,31295,US,26,MI,Michigan,43,1.0,1.0,1,0.0651,DL,1.0,581.0,0.0,8930.0,18,8930.0,1
4,2021,1,LAX,12892,1289208,32575,US,6,CA,California,91,0.0,0.0,1,0.0708,UA,1.0,559.0,0.0,7893.0,16,7893.0,1
1,2021,1,JFK,12478,1247805,31703,US,36,NY,New York,22,0.0,1.0,1,0.1896,B6,18.0,303.0,0.0,1598.0,4,1598.0,1
2,2021,1,SJU,14843,1484306,34819,US,72,PR,Puerto Rico,3,1.0,1.0,1,0.0884,WN,1.0,185.0,0.0,2092.0,5,2092.0,1
4,2021,1,MDW,13232,1323202,30977,US,17,IL,Illinois,41,1.0,1.0,1,0.1126,WN,1.0,497.0,0.0,4413.0,9,4413.0,1
2,2021,1,HNL,12173,1217305,32134,US,15,HI,Hawaii,2,0.0,1.0,1,0.0413,UA,1.0,200.0,0.0,4844.0,10,4844.0,1
2,2021,1,SJU,14843,1484306,34819,US,72,PR,Puerto Rico,3,0.0,1.0,1,23,NK,1.0,59.0,0.0,2568.0,6,2568.0,1
4,2021,1,LAX,12892,1289208,32575,US,6,CA,California,91,1.0,1.0,1,0.0723,HA,1.0,393.0,0.0,5438.0,11,5438.0,1
2,2021,1,SMF,14893,1489302,33192,US,6,CA,California,91,1.0,1.0,1,0.2575,HA,2.0,1238.0,0.0,4808.0,10,4808.0,1
1,2021,1,HNL,12173,1217305,32134,US,15,HI,Hawaii,2,0.0,1.0,1,0.0605,WN,3.0,149.0,0.0,2462.0,5,2462.0,1
4,2021,1,ORD,13930,1393007,30977,US,17,IL,Illinois,41,1.0,1.0,1,0.0819,UA,1.0,700.0,0.0,8544.0,18,8544.0,1
2,2021,1,PHL,14100,1410005,34100,US,42,PA,Pennsylvania,23,1.0,1.0,1,0.1085,F9,5.0,342.0,0.0,3152.0,7,3152.0,1
2,2021,1,HNL,12173,1217305,32134,US,15,HI,Hawaii,2,1.0,1.0,1,0.78,HA,1.0,156.0,0.0,200.0,1,200.0,1
4,2021,1,PDX,14057,1405702,34057,US,41,OR,Oregon,92,1.0,0.0,1,0.0227,QX,1.0,128.0,0.0,5634.0,12,5634.0,1
3,2021,1,BOS,10721,1072102,30721,US,25,MA,Massachusetts,13,1.0,1.0,1,0.0949,DL,1.0,402.0,0.0,4238.0,9,4238.0,1
2,2021,1,HNL,12173,1217305,32134,US,15,HI,Hawaii,2,0.0,1.0,1,0.0619,AS,2.0,301.0,0.0,4859.0,10,4859.0,1
5,2021,1,HNL,12173,1217305,32134,US,15,HI,Hawaii,2,1.0,0.0,1,0.0818,HA,1.0,524.0,0.0,6405.0,13,6405.0,1
2,2021,1,OGG,13830,1383002,33830,US,15,HI,Hawaii,2,0.0,1.0,1,0.6683,HA,1.0,135.0,0.0,202.0,1,202.0,1
2,2021,1,WRG,15841,1584102,35841,US,2,AK,Alaska,1,1.0,1.0,1,0.5586,AS,1.0,791.0,0.0,1416.0,3,1416.0,1
4,2021,1,RNO,14570,1457002,34570,US,32,NV,Nevada,85,1.0,0.0,1,0.1357,YV,1.0,939.0,0.0,6922.0,14,6922.0,1
4,2021,1,LAS,12889,1288903,32211,US,32,NV,Nevada,85,1.0,0.0,1,409,HA,1.0,2300.0,0.0,5724.0,12,5624.0,1
2,2021,1,PHL,14100,1410005,34100,US,42,PA,Pennsylvania,23,1.0,1.0,1,0.0581,AA,5.0,183.0,0.0,3152.0,7,3152.0,1
2,2021,1,SEA,14747,1474703,30559,US,53,WA,Washington,93,1.0,1.0,1,0.1165,HA,1.0,615.0,0.0,5280.0,11,5280.0,1
4,2021,1,DEN,11292,1129202,30325,US,8,CO,Colorado,82,1.0,1.0,1,92,UA,1.0,619.0,0.0,6730.0,14,6730.0,1
2,2021,1,CRP,11140,1114008,31140,US,48,TX,Texas,74,0.0,0.0,1,0.1574,YV,1.0,646.0,0.0,4105.0,9,4105.0,1
2,2021,1,SLC,14869,1486903,34614,US,49,UT,Utah,87,0.0,0.0,1,0.1143,OO,1.0,366.0,0.0,3202.0,7,3202.0,1
2,2021,1,MSP,13487,1348702,31650,US,27,MN,Minnesota,63,0.0,1.0,1,0.0442,NK,1.0,112.0,0.0,2533.0,6,2533.0,1
4,2021,1,GUM,12016,1201602,32016,US,75,TT,U.S. Pacific Trust Territories and Possessions,5,0.0,0.0,1,196,UA,1.0,1595.0,0.0,8138.0,17,8138.0,1
2,2021,1,BDL,10529,1052906,30529,US,9,CT,Connecticut,11,1.0,1.0,1,0.1885,B6,1.0,628.0,0.0,3332.0,7,3332.0,1
2,2021,1,OGG,13830,1383002,33830,US,15,HI,Hawaii,2,0.0,1.0,1,0.0545,WN,1.0,11.0,0.0,202.0,1,202.0,1
2,2021,1,EWR,11618,1161802,31703,US,34,NJ,New Jersey,21,1.0,1.0,1,0.1169,UA,1.0,382.0,0.0,3268.0,7,3268.0,1
4,2021,1,SEA,14747,1474703,30559,US,53,WA,Washington,93,1.0,1.0,1,0.0368,AA,1.0,301.0,0.0,8172.0,17,8172.0,1
2,2021,1,SFO,14771,1477104,32457,US,6,CA,California,91,1.0,1.0,1,0.0638,UA,3.0,306.0,0.0,4796.0,10,4796.0,1
5,2021,1,HNL,12173,1217305,32134,US,15,HI,Hawaii,2,1.0,0.0,1,0.1251,DL,1.0,841.0,0.0,6720.0,14,6720.0,1
1,2021,1,HNL,12173,1217305,32134,US,15,HI,Hawaii,2,0.0,1.0,1,0.1052,HA,1.0,269.0,0.0,2556.0,6,2556.0,1
