percentage,method,precision,recall,f1
30,lof,0.8361559139784946,0.5916310033285782,0.6929546087440825
30,iforest,0.9699989830163734,0.4535425582501188,0.6180863817516119
30,hst,0.9444189251263206,0.2932952924393723,0.447588984434527
30,z,1.0,0.0716751366382203,0.1337628058873529
30,lof,0.8313914557385831,0.5952632083613002,0.6937863209655789
30,iforest,0.971597874948917,0.4559401668424585,0.620635645761274
30,hst,0.9490375512780056,0.2883785597852143,0.4423444624209442
30,z,1.0,0.0758205532463809,0.1409539035438316
30,lof,0.8319741187571611,0.589747264822512,0.6902259002460299
30,iforest,0.9690962691877604,0.4554488557641775,0.6196697867914717
30,hst,0.9458410924891372,0.2911948784100138,0.445296803652968
30,z,0.9993377483443708,0.0726353790613718,0.1354274175454341
30,lof,0.8323092170465808,0.6063537906137184,0.7015873015873016
30,iforest,0.9579519163062066,0.458387484957882,0.6200677171506707
30,hst,0.9432191459408727,0.2902527075812274,0.4439045936395759
30,z,1.0,0.0738876489861816,0.1376077824452796
30,lof,0.8328455500864707,0.5945676432879055,0.6938187460172333
30,iforest,0.9650562139167428,0.4524431359513747,0.6160610371136687
30,hst,0.9482180932074322,0.2956455672159171,0.4507511312217194
30,z,0.99934036939314,0.0719475708790426,0.134231161121694
30,lof,0.8331993569131833,0.5906824333950705,0.6912880366819508
30,iforest,0.9665382275400528,0.452676069715534,0.6165788026779649
30,hst,0.948499161968612,0.2956261575723037,0.4507603186097031
30,z,1.0,0.0721330220591738,0.1345598364662489
30,lof,0.8351699726173779,0.5957882700462147,0.6954563149991658
30,iforest,0.9603809909818624,0.4515698699318691,0.6142977509883984
30,hst,0.9397152378067252,0.2955834008290057,0.4497118625638795
30,z,0.9993808049535604,0.0762291597789637,0.1416535018430753
30,lof,0.8352363250132767,0.5942473905445614,0.6944283467174435
30,iforest,0.968080808080808,0.4526519624049497,0.6168699514047566
30,hst,0.9440642665873252,0.2997213432201389,0.4549919340383582
40,z,1.0,0.0389179942264514,0.0749202428733148
40,lof,0.878096958067611,0.5545101393492284,0.6797588361221547
40,iforest,0.9913077834847888,0.3576748993192915,0.5256789670795904
40,hst,0.95727301288093,0.3257778252966962,0.4861199744735162
40,z,0.9991467576791808,0.0416814978287178,0.0800246019271509
40,lof,0.8758648066235681,0.5497615149142165,0.6755160951714485
40,iforest,0.991685637929328,0.356624190218552,0.524596172474278
40,hst,0.9491542798564838,0.3295721506371467,0.4892599540278475
40,z,1.0,0.0333154025461717,0.0644825432081627
40,lof,0.873686589085979,0.5546351084812623,0.6785267729835259
40,iforest,0.981358578957642,0.360588129818899,0.5273924103747606
40,hst,0.9506043089858118,0.3243679397525551,0.4836898395721924
40,z,0.9991554054054054,0.0421131323199601,0.0808198121263877
40,lof,0.8806106174527227,0.5503542059734434,0.6773720069226892
40,iforest,0.9917478623980912,0.3550959382008472,0.5229494875357152
40,hst,0.9477965403624382,0.3276850236730625,0.486998386371452
40,z,1.0,0.0363545102538362,0.070158444613575
40,lof,0.8753281572920739,0.5618456905205794,0.6843978600283873
40,iforest,0.989935865811544,0.3597088770973756,0.5276777026849344
40,hst,0.9526212792254608,0.3316004589129499,0.4919550011967766
40,z,0.9990108803165184,0.0360868943833071,0.0696575743991172
40,lof,0.879221587373423,0.5553094183221381,0.680696375780138
40,iforest,0.9895132568262762,0.3573674431899385,0.5250944981100378
40,hst,0.9552878726010616,0.3343575818207803,0.4953419436798644
40,z,1.0,0.0432834228402745,0.0829753869230244
40,lof,0.87858470899769,0.5546110893765338,0.6799808136746174
40,iforest,0.9853964520239146,0.357577266422449,0.5247390396659708
40,hst,0.9550632249973874,0.325034676530213,0.4850076951653134
40,z,0.998998998998999,0.0357641999641641,0.0690561859950179
40,lof,0.8798273512039981,0.5551693244938183,0.6807725265308813
40,iforest,0.9862448418156808,0.3597204802006808,0.5271643515479347
40,hst,0.951519536903039,0.32986919906826734,0.4899012746480747
50,z,0.9970501474926252,0.0096579706832014,0.0191306316504414
50,lof,0.9120999666142032,0.5464468383004257,0.6834393538703453
50,iforest,0.9932535157734702,0.2986827442352202,0.4592605610597307
50,hst,0.956498388829216,0.3562305340457753,0.5191230663529803
50,z,1.0,0.0103861366417209,0.0205587473245465
50,lof,0.9121330911176976,0.542924622257633,0.6806871086851821
50,iforest,0.9968850292618464,0.3005150385567538,0.4618142860266304
50,hst,0.9537282864294924,0.3577668383461856,0.5203410172577909
50,z,1.0,0.0083853854710361,0.0166313109885447
50,lof,0.9142254399002732,0.5438521434072046,0.6819986408669838
50,iforest,0.9979194250047286,0.3009611819400473,0.462452065300756
50,hst,0.9562640660165042,0.3635663557799264,0.5268335020974975
50,z,1.0,0.0068170198261659,0.0135417254415166
50,lof,0.9160533687859076,0.5480031812759188,0.6857660795848365
50,iforest,0.9974525898669686,0.300289723342612,0.4616089946512389
50,hst,0.9576029962546816,0.3631199227404419,0.5265672625422193
50,z,0.9971830985915492,0.0101148637064975,0.0200265889740616
50,lof,0.910884451467701,0.5435167723869936,0.6808038510406041
50,iforest,0.9986611838959548,0.2983884793416766,0.4594874051259487
